STATION,DATE,tavg-normal,tmax-normal,tmin-normal,MTD-PRCP-NORMAL,ytd-precip-normal
USW00023160,11-Apr,65.7,80.8,50.7,0.16,2.69
USW00023160,12-Apr,66,81,50.9,0.18,2.71
USW00023160,13-Apr,66.3,81.3,51.2,0.19,2.72
USW00023160,14-Apr,66.5,81.6,51.4,0.2,2.73
USW00023160,15-Apr,66.8,81.9,51.7,0.21,2.74
USW00023160,16-Apr,67.1,82.2,52,0.22,2.75
USW00023160,17-Apr,67.4,82.5,52.2,0.23,2.76
USW00023160,18-Apr,67.6,82.8,52.5,0.23,2.76
USW00023160,19-Apr,67.9,83.1,52.8,0.24,2.77
USW00023160,20-Apr,68.2,83.4,53.1,0.25,2.78
USW00023160,21-Apr,68.5,83.7,53.4,0.25,2.78
USW00023160,22-Apr,68.8,84,53.6,0.26,2.79
USW00023160,23-Apr,69.1,84.2,53.9,0.27,2.8
USW00023160,24-Apr,69.4,84.5,54.2,0.27,2.8
USW00023160,25-Apr,69.7,84.9,54.5,0.28,2.81
USW00023160,26-Apr,70,85.2,54.8,0.29,2.82
USW00023160,27-Apr,70.3,85.5,55.1,0.29,2.82
USW00023160,28-Apr,70.6,85.8,55.4,0.3,2.83
USW00023160,29-Apr,70.9,86.1,55.7,0.3,2.83
USW00023160,30-Apr,71.2,86.4,56,0.31,2.84
USW00023160,1-May,71.5,86.7,56.3,0.01,2.85
USW00023160,2-May,71.8,87,56.6,0.01,2.85
USW00023160,3-May,72.1,87.3,56.9,0.02,2.86
USW00023160,4-May,72.4,87.6,57.2,0.02,2.86
USW00023160,5-May,72.7,87.9,57.4,0.03,2.87
USW00023160,6-May,73,88.3,57.7,0.04,2.88
USW00023160,7-May,73.3,88.6,58,0.04,2.88
USW00023160,8-May,73.6,88.9,58.3,0.05,2.89
USW00023160,9-May,73.9,89.2,58.6,0.06,2.9
USW00023160,10-May,74.2,89.6,58.9,0.07,2.91
USW00023160,11-May,74.5,89.9,59.1,0.07,2.91
USW00023160,12-May,74.8,90.2,59.4,0.08,2.92
USW00023160,13-May,75.1,90.5,59.7,0.09,2.93
USW00023160,14-May,75.4,90.9,60,0.1,2.94
USW00023160,15-May,75.7,91.2,60.2,0.11,2.95
USW00023160,16-May,76,91.6,60.5,0.11,2.95
USW00023160,17-May,76.3,91.9,60.8,0.12,2.96
USW00023160,18-May,76.6,92.2,61.1,0.13,2.97
USW00023160,19-May,77,92.6,61.3,0.14,2.98
USW00023160,20-May,77.3,92.9,61.6,0.14,2.98
USW00023160,21-May,77.6,93.3,61.9,0.15,2.99
USW00023160,22-May,77.9,93.6,62.1,0.16,3
USW00023160,23-May,78.2,93.9,62.4,0.17,3.01
USW00023160,24-May,78.5,94.3,62.7,0.17,3.01
USW00023160,25-May,78.8,94.6,63,0.18,3.02
USW00023160,26-May,79.1,95,63.3,0.19,3.03
USW00023160,27-May,79.4,95.3,63.5,0.2,3.04
USW00023160,28-May,79.7,95.7,63.8,0.21,3.05
USW00023160,29-May,80,96,64.1,0.22,3.06
USW00023160,30-May,80.4,96.3,64.4,0.22,3.06
USW00023160,31-May,80.7,96.7,64.7,0.23,3.07
USW00023160,1-Jun,81,97,65,0,3.07
USW00023160,2-Jun,81.3,97.3,65.3,0.01,3.08
USW00023160,3-Jun,81.6,97.6,65.6,0.01,3.08
USW00023160,4-Jun,81.9,97.9,65.9,0.02,3.09
USW00023160,5-Jun,82.2,98.2,66.2,0.02,3.09
USW00023160,6-Jun,82.5,98.5,66.5,0.02,3.09
USW00023160,7-Jun,82.8,98.8,66.8,0.03,3.1
USW00023160,8-Jun,83.1,99.1,67.1,0.03,3.1
USW00023160,9-Jun,83.4,99.4,67.4,0.03,3.1
USW00023160,10-Jun,83.7,99.6,67.7,0.04,3.11
USW00023160,11-Jun,83.9,99.9,68,0.04,3.11
USW00023160,12-Jun,84.2,100.1,68.3,0.04,3.11
USW00023160,13-Jun,84.5,100.3,68.6,0.05,3.12
USW00023160,14-Jun,84.7,100.5,69,0.05,3.12
USW00023160,15-Jun,85,100.7,69.3,0.05,3.12
USW00023160,16-Jun,85.2,100.9,69.6,0.06,3.13
USW00023160,17-Jun,85.5,101.1,69.9,0.06,3.13
USW00023160,18-Jun,85.7,101.2,70.2,0.07,3.14
USW00023160,19-Jun,85.9,101.4,70.5,0.07,3.14
USW00023160,20-Jun,86.1,101.5,70.7,0.08,3.15
USW00023160,21-Jun,86.3,101.6,71,0.09,3.16
USW00023160,22-Jun,86.5,101.7,71.3,0.09,3.16
USW00023160,23-Jun,86.7,101.8,71.6,0.1,3.17
USW00023160,24-Jun,86.8,101.8,71.8,0.11,3.18
USW00023160,25-Jun,87,101.9,72.1,0.13,3.2
USW00023160,26-Jun,87.1,101.9,72.3,0.14,3.21
USW00023160,27-Jun,87.2,101.9,72.6,0.15,3.22
USW00023160,28-Jun,87.3,101.9,72.8,0.17,3.24
USW00023160,29-Jun,87.4,101.9,73,0.18,3.25
USW00023160,30-Jun,87.5,101.8,73.2,0.2,3.27
USW00023160,1-Jul,87.6,101.8,73.4,0.03,3.3
USW00023160,2-Jul,87.6,101.7,73.6,0.07,3.34
USW00023160,3-Jul,87.7,101.6,73.7,0.11,3.38
USW00023160,4-Jul,87.7,101.5,73.9,0.15,3.42
USW00023160,5-Jul,87.7,101.4,74,0.19,3.46
USW00023160,6-Jul,87.7,101.3,74.2,0.24,3.51
USW00023160,7-Jul,87.7,101.2,74.3,0.29,3.56
USW00023160,8-Jul,87.7,101,74.4,0.35,3.62
USW00023160,9-Jul,87.7,100.9,74.5,0.41,3.68
USW00023160,10-Jul,87.6,100.7,74.5,0.47,3.74
USW00023160,11-Jul,87.6,100.6,74.6,0.53,3.8
USW00023160,12-Jul,87.5,100.4,74.7,0.6,3.87
USW00023160,13-Jul,87.5,100.2,74.7,0.67,3.94
USW00023160,14-Jul,87.4,100.1,74.7,0.74,4.01
USW00023160,15-Jul,87.3,99.9,74.8,0.81,4.08
USW00023160,16-Jul,87.2,99.7,74.8,0.89,4.16
USW00023160,17-Jul,87.1,99.5,74.8,0.98,4.25
USW00023160,18-Jul,87.1,99.4,74.8,1.07,4.34
USW00023160,19-Jul,87,99.2,74.7,1.15,4.42
USW00023160,20-Jul,86.9,99,74.7,1.24,4.51
USW00023160,21-Jul,86.8,98.8,74.7,1.32,4.59
USW00023160,22-Jul,86.7,98.7,74.6,1.41,4.68
USW00023160,23-Jul,86.6,98.5,74.6,1.5,4.77
USW00023160,24-Jul,86.5,98.4,74.6,1.59,4.86
USW00023160,25-Jul,86.4,98.2,74.5,1.68,4.95
USW00023160,26-Jul,86.3,98.1,74.4,1.77,5.04
USW00023160,27-Jul,86.2,98,74.4,1.86,5.13
USW00023160,28-Jul,86.1,97.9,74.3,1.96,5.23
USW00023160,29-Jul,86,97.7,74.3,2.05,5.32
USW00023160,30-Jul,85.9,97.6,74.2,2.15,5.42
USW00023160,31-Jul,85.9,97.6,74.1,2.25,5.52
USW00023160,1-Aug,85.8,97.5,74.1,0.09,5.61
USW00023160,2-Aug,85.7,97.4,74,0.18,5.7
USW00023160,3-Aug,85.7,97.4,74,0.26,5.78
USW00023160,4-Aug,85.6,97.3,73.9,0.35,5.87
USW00023160,5-Aug,85.6,97.3,73.8,0.43,5.95
USW00023160,6-Aug,85.5,97.2,73.8,0.51,6.03
USW00023160,7-Aug,85.5,97.2,73.7,0.58,6.1
USW00023160,8-Aug,85.4,97.2,73.7,0.66,6.18
USW00023160,9-Aug,85.4,97.2,73.6,0.75,6.27
USW00023160,10-Aug,85.4,97.2,73.6,0.83,6.35
USW00023160,11-Aug,85.4,97.2,73.5,0.92,6.44
USW00023160,12-Aug,85.4,97.2,73.5,1,6.52
USW00023160,13-Aug,85.4,97.3,73.5,1.08,6.6
USW00023160,14-Aug,85.4,97.3,73.4,1.16,6.68
USW00023160,15-Aug,85.4,97.3,73.4,1.24,6.76
USW00023160,16-Aug,85.3,97.4,73.3,1.31,6.83
USW00023160,17-Aug,85.3,97.4,73.3,1.39,6.91
USW00023160,18-Aug,85.3,97.4,73.3,1.46,6.98
USW00023160,19-Aug,85.3,97.5,73.2,1.54,7.06
USW00023160,20-Aug,85.3,97.5,73.2,1.62,7.14
USW00023160,21-Aug,85.3,97.5,73.1,1.7,7.22
USW00023160,22-Aug,85.3,97.5,73.1,1.77,7.29
USW00023160,23-Aug,85.3,97.6,73,1.85,7.37
USW00023160,24-Aug,85.3,97.6,72.9,1.92,7.44
USW00023160,25-Aug,85.2,97.6,72.9,1.99,7.51
USW00023160,26-Aug,85.2,97.6,72.8,2.06,7.58
USW00023160,27-Aug,85.2,97.6,72.7,2.13,7.65
USW00023160,28-Aug,85.1,97.6,72.6,2.2,7.72
USW00023160,29-Aug,85,97.5,72.5,2.26,7.78
USW00023160,30-Aug,85,97.5,72.4,2.33,7.85
USW00023160,31-Aug,84.9,97.4,72.3,2.39,7.91
USW00023160,1-Sep,84.8,97.4,72.2,0.06,7.97
USW00023160,2-Sep,84.7,97.3,72.1,0.12,8.03
USW00023160,3-Sep,84.5,97.2,71.9,0.17,8.08
USW00023160,4-Sep,84.4,97.1,71.7,0.23,8.14
USW00023160,5-Sep,84.3,97,71.6,0.29,8.2
USW00023160,6-Sep,84.1,96.8,71.4,0.35,8.26
USW00023160,7-Sep,83.9,96.7,71.2,0.39,8.3
USW00023160,8-Sep,83.8,96.5,71,0.44,8.35
USW00023160,9-Sep,83.6,96.4,70.8,0.48,8.39
USW00023160,10-Sep,83.3,96.2,70.5,0.53,8.44
USW00023160,11-Sep,83.1,96,70.3,0.57,8.48
USW00023160,12-Sep,82.9,95.7,70,0.61,8.52
USW00023160,13-Sep,82.6,95.5,69.7,0.65,8.56
USW00023160,14-Sep,82.4,95.3,69.5,0.7,8.61
USW00023160,15-Sep,82.1,95,69.2,0.74,8.65
USW00023160,16-Sep,81.8,94.8,68.8,0.78,8.69
USW00023160,17-Sep,81.5,94.5,68.5,0.82,8.73
USW00023160,18-Sep,81.2,94.2,68.2,0.86,8.77
USW00023160,19-Sep,80.9,93.9,67.9,0.9,8.81
USW00023160,20-Sep,80.6,93.6,67.5,0.94,8.85
USW00023160,21-Sep,80.2,93.3,67.1,0.98,8.89
USW00023160,22-Sep,79.9,93,66.8,1.01,8.92
USW00023160,23-Sep,79.5,92.7,66.4,1.05,8.96
USW00023160,24-Sep,79.2,92.3,66,1.09,9
USW00023160,25-Sep,78.8,92,65.6,1.12,9.03
USW00023160,26-Sep,78.4,91.7,65.2,1.16,9.07
USW00023160,27-Sep,78.1,91.3,64.8,1.19,9.1
USW00023160,28-Sep,77.7,91,64.4,1.22,9.13
USW00023160,29-Sep,77.3,90.6,64,1.26,9.17
USW00023160,30-Sep,77,90.3,63.6,1.29,9.2
USW00023160,1-Oct,76.6,89.9,63.2,0.04,9.24
USW00023160,2-Oct,76.2,89.6,62.8,0.07,9.27
USW00023160,3-Oct,75.8,89.2,62.4,0.11,9.31
USW00023160,4-Oct,75.4,88.9,62,0.14,9.34
USW00023160,5-Oct,75.1,88.5,61.6,0.17,9.37
USW00023160,6-Oct,74.7,88.2,61.2,0.21,9.41
USW00023160,7-Oct,74.3,87.8,60.8,0.25,9.45
USW00023160,8-Oct,73.9,87.5,60.4,0.28,9.48
USW00023160,9-Oct,73.5,87.1,60,0.32,9.52
USW00023160,10-Oct,73.2,86.8,59.6,0.35,9.55
USW00023160,11-Oct,72.8,86.5,59.2,0.39,9.59
USW00023160,12-Oct,72.4,86.1,58.8,0.42,9.62
USW00023160,13-Oct,72.1,85.8,58.4,0.45,9.65
USW00023160,14-Oct,71.7,85.5,58,0.48,9.68
USW00023160,15-Oct,71.4,85.1,57.6,0.51,9.71
USW00023160,16-Oct,71,84.8,57.2,0.54,9.74
USW00023160,17-Oct,70.6,84.5,56.8,0.57,9.77
USW00023160,18-Oct,70.3,84.1,56.4,0.59,9.79
USW00023160,19-Oct,69.9,83.8,56.1,0.61,9.81
USW00023160,20-Oct,69.6,83.5,55.7,0.64,9.84
USW00023160,21-Oct,69.2,83.1,55.3,0.66,9.86
USW00023160,22-Oct,68.9,82.8,55,0.69,9.89
USW00023160,23-Oct,68.5,82.5,54.6,0.71,9.91
USW00023160,24-Oct,68.2,82.1,54.2,0.73,9.93
USW00023160,25-Oct,67.8,81.8,53.9,0.76,9.96
USW00023160,26-Oct,67.5,81.4,53.5,0.78,9.98
USW00023160,27-Oct,67.1,81.1,53.1,0.8,10
USW00023160,28-Oct,66.8,80.7,52.8,0.82,10.02
USW00023160,29-Oct,66.4,80.4,52.4,0.84,10.04
USW00023160,30-Oct,66,80,52,0.87,10.07
USW00023160,31-Oct,65.7,79.7,51.7,0.89,10.09
USW00023160,1-Nov,65.3,79.3,51.3,0.02,10.11
USW00023160,2-Nov,64.9,78.9,51,0.04,10.13
USW00023160,3-Nov,64.6,78.5,50.6,0.06,10.15
USW00023160,4-Nov,64.2,78.2,50.2,0.08,10.17
USW00023160,5-Nov,63.8,77.8,49.9,0.09,10.18
USW00023160,6-Nov,63.4,77.4,49.5,0.11,10.2
USW00023160,7-Nov,63.1,77,49.1,0.12,10.21
USW00023160,8-Nov,62.7,76.6,48.8,0.14,10.23
USW00023160,9-Nov,62.3,76.2,48.4,0.16,10.25
USW00023160,10-Nov,61.9,75.8,48,0.17,10.26
USW00023160,11-Nov,61.5,75.4,47.7,0.19,10.28
USW00023160,12-Nov,61.1,75,47.3,0.2,10.29
USW00023160,13-Nov,60.7,74.5,46.9,0.22,10.31
USW00023160,14-Nov,60.3,74.1,46.5,0.23,10.32
USW00023160,15-Nov,59.9,73.7,46.2,0.25,10.34
USW00023160,16-Nov,59.5,73.3,45.8,0.26,10.35
USW00023160,17-Nov,59.2,72.9,45.5,0.28,10.37
USW00023160,18-Nov,58.8,72.4,45.1,0.3,10.39
USW00023160,19-Nov,58.4,72,44.7,0.32,10.41
USW00023160,20-Nov,58,71.6,44.4,0.34,10.43
USW00023160,21-Nov,57.6,71.2,44.1,0.36,10.45
USW00023160,22-Nov,57.3,70.8,43.7,0.38,10.47
USW00023160,23-Nov,56.9,70.4,43.4,0.4,10.49
USW00023160,24-Nov,56.5,70,43.1,0.43,10.52
USW00023160,25-Nov,56.2,69.6,42.7,0.45,10.54
USW00023160,26-Nov,55.8,69.2,42.4,0.48,10.57
USW00023160,27-Nov,55.5,68.9,42.1,0.5,10.59
USW00023160,28-Nov,55.2,68.5,41.8,0.52,10.61
USW00023160,29-Nov,54.8,68.1,41.5,0.55,10.64
USW00023160,30-Nov,54.5,67.8,41.3,0.57,10.66
USW00023160,1-Dec,54.2,67.5,41,0.03,10.69
USW00023160,2-Dec,54,67.1,40.8,0.05,10.71
USW00023160,3-Dec,53.7,66.8,40.5,0.08,10.74
USW00023160,4-Dec,53.4,66.6,40.3,0.11,10.77
USW00023160,5-Dec,53.2,66.3,40.1,0.14,10.8
USW00023160,6-Dec,53,66,39.9,0.17,10.83
USW00023160,7-Dec,52.7,65.8,39.7,0.2,10.86
USW00023160,8-Dec,52.5,65.5,39.5,0.24,10.9
USW00023160,9-Dec,52.3,65.3,39.4,0.27,10.93
USW00023160,10-Dec,52.2,65.1,39.2,0.3,10.96
USW00023160,11-Dec,52,64.9,39.1,0.33,10.99
USW00023160,12-Dec,51.9,64.8,39,0.36,11.02
USW00023160,13-Dec,51.7,64.6,38.9,0.4,11.06
USW00023160,14-Dec,51.6,64.5,38.8,0.43,11.09
USW00023160,15-Dec,51.5,64.3,38.7,0.46,11.12
USW00023160,16-Dec,51.4,64.2,38.6,0.5,11.16
USW00023160,17-Dec,51.4,64.1,38.6,0.53,11.19
USW00023160,18-Dec,51.3,64.1,38.5,0.56,11.22
USW00023160,19-Dec,51.3,64,38.5,0.59,11.25
USW00023160,20-Dec,51.2,63.9,38.5,0.61,11.27
USW00023160,21-Dec,51.2,63.9,38.5,0.64,11.3
USW00023160,22-Dec,51.2,63.9,38.5,0.66,11.32
USW00023160,23-Dec,51.2,63.9,38.5,0.69,11.35
USW00023160,24-Dec,51.2,63.9,38.5,0.72,11.38
USW00023160,25-Dec,51.2,63.9,38.5,0.75,11.41
USW00023160,26-Dec,51.2,63.9,38.6,0.78,11.44
USW00023160,27-Dec,51.3,63.9,38.6,0.81,11.47
USW00023160,28-Dec,51.3,64,38.6,0.84,11.5
USW00023160,29-Dec,51.3,64,38.7,0.87,11.53
USW00023160,30-Dec,51.4,64.1,38.7,0.9,11.56
USW00023160,31-Dec,51.5,64.1,38.8,0.93,11.59
